source,target
B0P,B
F0S,F
A0S,A
F1S,F
F0P,F
F2S,F
G0S,G
F3S,F
B1P,B
F1P,F
G1S,G
F2P,F
F999P,F
F3P,F
F4P,F
F5P,F
G0P,G
F6P,F
E0S,E
D0P,D
C2S,C
F6S,F
C0P,C
F8P,F
G4S,G
F9P,F
D1S,D
D1P,D
F8S,F
F10S,F
G1P,G
G2P,G
B3P,B
G3P,G
F10P,F
E1S,E
E2S,E
G6S,G
F11S,F
A1S,A
G7S,G
F12S,F
F13S,F
F14S,F
E3S,E
G6P,G
G10S,G
F15S,F
E4S,E
F16S,F
F13P,F
F14P,F
F17S,F
D3P,D
C3S,C
F18S,F
F15P,F
C4S,C
G13S,G
F16P,F
G14S,G
C5S,C
F17P,F
E5S,E
G15S,G
G16S,G
F20S,F
G9P,G
A2S,A
G11P,G
F19P,F
G12P,G
F23S,F
F24S,F
G18S,G
F21P,F
D2S,D
G19S,G
B5P,B
E6S,E
B1S,B
F23P,F
G20S,G
F24P,F
D4P,D
A0P,A
F25P,F
G21S,G
F27P,F
F27S,F
E7S,E
D3S,D
E8S,E
G22S,G
F29S,F
D5S,D
G17P,G
G23S,G
G18P,G
E5P,E
C6S,C
G19P,G
F29P,F
F30P,F
F31S,F
G25S,G
G26S,G
F31P,F
G27S,G
G20P,G
F32P,F
G22P,G
B8P,B
G28S,G
F37P,F
F35S,F
G23P,G
E10S,E
G30S,G
G24P,G
E11S,E
F38P,F
B2S,B
D6S,D
G26P,G
G27P,G
C3P,C
F36S,F
G28P,G
G31S,G
E8P,E
G32S,G
G29P,G
F41P,F
F42P,F
D5P,D
C5P,C
G30P,G
G33S,G
G31P,G
B3S,B
B9P,B
A2P,A
C8S,C
G34S,G
C9S,C
G32P,G
D6P,D
F44P,F
E9P,E
F45P,F
F46P,F
F40S,F
F47P,F
G36P,G
G37P,G
E10P,E
F48P,F
E13S,E
F41S,F
E14S,E
G35S,G
F42S,F
G38P,G
F43S,F
F44S,F
G36S,G
F45S,F
F50P,F
B11P,B
F52P,F
E11P,E
F46S,F
G37S,G
F47S,F
C6P,C
D8P,D
C10S,C
G38S,G
C11S,C
F53P,F
G42P,G
F54P,F
A3S,A
F49S,F
F50S,F
E16S,E
F56P,F
G43P,G
D8S,D
F51S,F
F52S,F
F59P,F
D9S,D
F61P,F
G45P,G
F63P,F
F54S,F
G46P,G
F64P,F
E16P,E
F65P,F
B12P,B
F55S,F
C12S,C
B7S,B
D10S,D
B8S,B
G47P,G
A3P,A
F67P,F
G41S,G
E18S,E
C7P,C
E19S,E
F59S,F
F60S,F
F68P,F
G50P,G
G51P,G
G42S,G
B9S,B
G44S,G
F61S,F
G45S,G
G53P,G
G47S,G
C14S,C
F72P,F
F73P,F
F62S,F
F74P,F
F63S,F
G48S,G
B10S,B
G57P,G
F76P,F
E21S,E
G59P,G
F64S,F
D12P,D
G60P,G
F78P,F
B15P,B
F65S,F
G50S,G
F66S,F
F67S,F
F68S,F
G51S,G
F82P,F
G53S,G
F83P,F
F84P,F
F85P,F
G62P,G
E22P,E
G54S,G
C15S,C
B11S,B
G63P,G
B16P,B
G64P,G
G55S,G
G56S,G
G65P,G
G66P,G
G57S,G
E23P,E
C9P,C
E24P,E
B17P,B
G59S,G
F69S,F
D13S,D
D14S,D
D15S,D
D13P,D
