source,target
0001_01,B0P
0002_01,F0S
0003_01,A0S
0003_02,A0S
0004_01,F1S
0005_01,F0P
0006_01,F2S
0006_02,G0S
0007_01,F3S
0008_01,B1P
0008_02,B1P
0008_03,B1P
0009_01,F1P
0010_01,G1S
0011_01,F2P
0012_01,F999P
0014_01,F3P
0015_01,F4P
0016_01,F5P
0017_01,G0P
0017_02,F6P
0020_01,E0S
0020_02,E0S
0020_03,E0S
0020_04,E0S
0020_05,E0S
0020_06,E0S
0022_01,D0P
0024_01,C2S
0025_01,F6S
0026_01,C0P
0028_01,F8P
0030_01,G4S
0031_01,F9P
0031_02,F9P
0031_03,F9P
0034_01,D1S
0035_01,D1P
0036_01,F8S
0038_01,F10S
0039_01,G1P
0041_01,G2P
0043_01,B3P
0044_01,G3P
0044_02,G3P
0044_03,G3P
0045_01,F10P
0045_02,F10P
0050_01,E1S
0051_01,E2S
0052_01,G6S
0053_01,F11S
0056_01,A1S
0056_02,A1S
0056_03,A1S
0058_01,G7S
0061_01,F12S
0062_01,F13S
0064_01,F14S
0064_02,E3S
0066_01,G6P
0067_01,G10S
0067_02,G10S
0067_03,F15S
0068_01,E4S
0069_01,F16S
0070_01,F13P
0071_01,F14P
0072_01,F17S
0073_01,D3P
0074_01,C3S
0076_01,F18S
0077_01,F15P
0078_01,C4S
0081_01,G13S
0082_01,F16P
0082_02,F16P
0082_03,F16P
0084_01,G14S
0085_01,C5S
0086_01,F17P
0088_01,E5S
0090_01,G15S
0091_01,G16S
0091_02,F20S
0092_01,G9P
0092_02,G9P
0092_03,G9P
0097_01,A2S
0098_01,G11P
0098_02,G11P
0099_01,F19P
0099_02,G12P
0101_01,F999P
0102_01,F23S
0103_01,F24S
0103_02,G18S
0103_03,G18S
0105_01,F21P
0107_01,D2S
0108_01,G19S
0108_02,G19S
0108_03,G19S
0110_01,B5P
0110_02,B5P
0110_03,B5P
0110_04,B5P
0111_01,E6S
0112_01,B1S
0113_01,F23P
0114_01,G20S
0115_01,F24P
0116_01,D4P
0119_01,A0P
0119_02,A0P
0120_01,F25P
0122_01,G21S
0123_01,F27P
0126_01,F27S
0127_01,E7S
0128_01,D3S
0128_02,E8S
0129_01,G22S
0133_01,F29S
0133_02,D5S
0134_01,G17P
0136_01,G23S
0138_01,G18P
0138_02,E5P
0139_01,C6S
0140_01,G19P
0140_02,F29P
0141_01,F30P
0144_01,F31S
0146_01,G25S
0147_01,G26S
0148_01,F31P
0149_01,G27S
0151_01,G20P
0152_01,F32P
0160_01,G22P
0163_01,B8P
0163_02,B8P
0164_01,G28S
0164_02,G28S
0165_01,F37P
0167_01,F35S
0167_02,F35S
0169_01,G23P
0170_01,E10S
0171_01,G30S
0172_01,G24P
0173_01,E11S
0174_01,F38P
0177_01,B2S
0178_01,D6S
0179_01,G26P
0179_02,G26P
0179_03,G26P
0181_01,G27P
0182_01,C3P
0183_01,F36S
0186_01,G28P
0188_01,G31S
0189_01,E8P
0190_01,G32S
0192_01,G29P
0192_02,G29P
0192_03,G29P
0193_01,F41P
0193_02,F41P
0193_03,F41P
0195_01,F42P
0196_01,D5P
0197_01,C5P
0198_01,G30P
0199_01,G33S
0200_01,G31P
0201_01,B3S
0201_02,B3S
0202_01,B9P
0202_02,A2P
0203_01,C8S
0205_01,G34S
0206_01,C9S
0207_01,G32P
0210_01,D6P
0211_01,F44P
0211_02,F44P
0211_03,F44P
0212_01,E9P
0212_02,F45P
0213_01,F46P
0216_01,F40S
0217_01,F47P
0219_01,G36P
0220_01,G37P
0220_02,G37P
0220_03,G37P
0220_04,E10P
0220_05,F48P
0220_06,G37P
0220_07,G37P
0221_01,E13S
0221_02,E13S
0221_03,E13S
0221_04,E13S
0221_05,E13S
0221_06,E13S
0221_07,E13S
0222_01,F41S
0222_02,F41S
0222_03,E14S
0223_01,G35S
0224_01,F42S
0225_01,G38P
0229_01,F43S
0231_01,F44S
0232_01,G36S
0233_01,F45S
0234_01,F50P
0237_01,B11P
0239_01,F999P
0240_01,F52P
0241_01,E11P
0242_01,F46S
0243_01,G37S
0244_01,F47S
0244_02,F47S
0245_01,C6P
0245_02,C6P
0246_01,D8P
0248_01,C10S
0250_01,G38S
0251_01,C11S
0252_01,F53P
0253_01,G42P
0254_01,F54P
0255_01,A3S
0257_01,F49S
0257_02,F49S
0258_01,F50S
0260_01,E16S
0261_01,F56P
0263_01,G43P
0265_01,D8S
0267_01,F51S
0269_01,F52S
0270_01,F59P
0275_01,D9S
0277_01,F61P
0278_01,G45P
0278_02,G45P
0281_01,F63P
0282_01,F54S
0283_01,G46P
0283_02,F64P
0285_01,E16P
0285_02,E16P
0286_01,F65P
0287_01,B12P
0287_02,B12P
0288_01,F55S
0289_01,C12S
0290_01,B7S
0290_02,B7S
0290_03,B7S
0290_04,B7S
0291_01,D10S
0294_01,B8S
0297_01,G47P
0298_01,A3P
0301_01,F999P
0302_01,F67P
0303_01,G41S
0304_01,E18S
0305_01,C7P
0306_01,E19S
0307_01,F59S
