source,target
0003_01,3
0003_02,3
0006_01,6
0006_02,6
0008_01,8
0008_02,8
0008_03,8
0017_01,17
0017_02,17
0020_01,20
0020_02,20
0020_03,20
0020_04,20
0020_05,20
0020_06,20
0031_01,31
0031_02,31
0031_03,31
0044_01,44
0044_02,44
0044_03,44
0045_01,45
0045_02,45
0056_01,56
0056_02,56
0056_03,56
0064_01,64
0064_02,64
0067_01,67
0067_02,67
0067_03,67
0082_01,82
0082_02,82
0082_03,82
0091_01,91
0091_02,91
0092_01,92
0092_02,92
0092_03,92
0098_01,98
0098_02,98
0099_01,99
0099_02,99
0103_01,103
0103_02,103
0103_03,103
0108_01,108
0108_02,108
0108_03,108
0110_01,110
0110_02,110
0110_03,110
0110_04,110
0119_01,119
0119_02,119
0128_01,128
0128_02,128
0133_01,133
0133_02,133
0138_01,138
0138_02,138
0140_01,140
0140_02,140
0163_01,163
0163_02,163
0164_01,164
0164_02,164
0167_01,167
0167_02,167
0179_01,179
0179_02,179
0179_03,179
0192_01,192
0192_02,192
0192_03,192
0193_01,193
0193_02,193
0193_03,193
0201_01,201
0201_02,201
0202_01,202
0202_02,202
0211_01,211
0211_02,211
0211_03,211
0212_01,212
0212_02,212
0220_01,220
0220_02,220
0220_03,220
0220_04,220
0220_05,220
0220_06,220
0220_07,220
0221_01,221
0221_02,221
0221_03,221
0221_04,221
0221_05,221
0221_06,221
0221_07,221
0222_01,222
0222_02,222
0222_03,222
0244_01,244
0244_02,244
0245_01,245
0245_02,245
0257_01,257
0257_02,257
0278_01,278
0278_02,278
0283_01,283
0283_02,283
0285_01,285
0285_02,285
0287_01,287
0287_02,287
0290_01,290
0290_02,290
0290_03,290
0290_04,290
0313_01,313
0313_02,313
0313_03,313
0313_04,313
0316_01,316
0316_02,316
0320_01,320
0320_02,320
0330_01,330
0330_02,330
0330_03,330
0337_01,337
0337_02,337
0337_03,337
0348_01,348
0348_02,348
0358_01,358
0358_02,358
0368_01,368
0368_02,368
0378_01,378
0378_02,378
0378_03,378
0378_04,378
0378_05,378
0378_06,378
0378_07,378
0381_01,381
0381_02,381
0383_01,383
0383_02,383
0384_01,384
0384_02,384
0395_01,395
0395_02,395
0401_01,401
0401_02,401
0407_01,407
0407_02,407
0407_03,407
0417_01,417
0417_02,417
0417_03,417
0425_01,425
0425_02,425
0425_03,425
0429_01,429
0429_02,429
0433_01,433
0433_02,433
0436_01,436
0436_02,436
0437_01,437
0437_02,437
0444_01,444
0444_02,444
0445_01,445
0445_02,445
0448_01,448
0448_02,448
0453_01,453
0453_02,453
0453_03,453
0454_01,454
0454_02,454
0454_03,454
0457_01,457
0457_02,457
0457_03,457
0461_01,461
0461_02,461
0461_03,461
0463_01,463
0463_02,463
0465_01,465
0465_02,465
0470_01,470
0470_02,470
0471_01,471
0471_02,471
0476_01,476
0476_02,476
0476_03,476
0482_01,482
0482_02,482
0498_01,498
0498_02,498
0499_01,499
0499_02,499
0503_01,503
0503_02,503
0503_03,503
0504_01,504
0504_02,504
0504_03,504
0504_04,504
0504_05,504
0504_06,504
0512_01,512
0512_02,512
0527_01,527
0527_02,527
0531_01,531
0531_02,531
0534_01,534
0534_02,534
0539_01,539
0539_02,539
0539_03,539
0539_04,539
0539_05,539
0540_01,540
0540_02,540
0549_01,549
0549_02,549
0553_01,553
0553_02,553
0555_01,555
0555_02,555
0560_01,560
0560_02,560
0560_03,560
0564_01,564
0564_02,564
0564_03,564
0568_01,568
0568_02,568
0571_01,571
0571_02,571
0571_03,571
0571_04,571
0571_05,571
0571_06,571
0571_07,571
0579_01,579
0579_02,579
0583_01,583
0583_02,583
0583_03,583
0585_01,585
0585_02,585
0585_03,585
0594_01,594
0594_02,594
0597_01,597
0597_02,597
0599_01,599
0599_02,599
0599_03,599
0599_04,599
0602_01,602
0602_02,602
0602_03,602
0607_01,607
0607_02,607
0607_03,607
0615_01,615
0615_02,615
0615_03,615
0618_01,618
0618_02,618
0619_01,619
0619_02,619
0635_01,635
0635_02,635
0636_01,636
0636_02,636
0642_01,642
0642_02,642
0642_03,642
0642_04,642
0642_05,642
0647_01,647
0647_02,647
0647_03,647
0657_01,657
0657_02,657
0665_01,665
0665_02,665
0680_01,680
0680_02,680
0680_03,680
0684_01,684
0684_02,684
0684_03,684
0686_01,686
0686_02,686
0691_01,691
0691_02,691
0691_03,691
0693_01,693
0693_02,693
0699_01,699
0699_02,699
0709_01,709
0709_02,709
0709_03,709
0712_01,712
0712_02,712
0714_01,714
0714_02,714
0714_03,714
0714_04,714
0714_05,714
0714_06,714
0714_07,714
0740_01,740
0740_02,740
0740_03,740
0753_01,753
0753_02,753
0753_03,753
0756_01,756
0756_02,756
0756_03,756
0765_01,765
0765_02,765
0768_01,768
0768_02,768
0770_01,770
0770_02,770
0770_03,770
0770_04,770
0770_05,770
0770_06,770
0772_01,772
0772_02,772
0772_03,772
0772_04,772
0789_01,789
0789_02,789
0789_03,789
0794_01,794
0794_02,794
0806_01,806
0806_02,806
0809_01,809
0809_02,809
0809_03,809
0809_04,809
0811_01,811
0811_02,811
0811_03,811
0820_01,820
0820_02,820
0823_01,823
0823_02,823
0828_01,828
0828_02,828
0848_01,848
0848_02,848
0849_01,849
0849_02,849
0863_01,863
0863_02,863
0863_03,863
0865_01,865
0865_02,865
0885_01,885
0885_02,885
0889_01,889
0889_02,889
0899_01,899
0899_02,899
0907_01,907
0907_02,907
0911_01,911
0911_02,911
0922_01,922
0922_02,922
0923_01,923
0923_02,923
0925_01,925
0925_02,925
0925_03,925
0926_01,926
0926_02,926
0930_01,930
0930_02,930
0933_01,933
0933_02,933
0938_01,938
0938_02,938
0938_03,938
0944_01,944
0944_02,944
0964_01,964
0964_02,964
0982_01,982
0982_02,982
0984_01,984
0984_02,984
0984_03,984
0984_04,984
0984_05,984
0984_06,984
0984_07,984
0984_08,984
0988_01,988
0988_02,988
0992_01,992
0992_02,992
0992_03,992
0992_04,992
0992_05,992
0992_06,992
0994_01,994
0994_02,994
1002_01,1002
1002_02,1002
1002_03,1002
1006_01,1006
1006_02,1006
1006_03,1006
1008_01,1008
1008_02,1008
1011_01,1011
1011_02,1011
1024_01,1024
1024_02,1024
1024_03,1024
1024_04,1024
1027_01,1027
1027_02,1027
1027_03,1027
1027_04,1027
1045_01,1045
1045_02,1045
1049_01,1049
1049_02,1049
1056_01,1056
1056_02,1056
1063_01,1063
1063_02,1063
1075_01,1075
1075_02,1075
1083_01,1083
1083_02,1083
1083_03,1083
1086_01,1086
1086_02,1086
1086_03,1086
1086_04,1086
1086_05,1086
1089_01,1089
1089_02,1089
1100_01,1100
1100_02,1100
1100_03,1100
1100_04,1100
1108_01,1108
1108_02,1108
1110_01,1110
1110_02,1110
1114_01,1114
1114_02,1114
1116_01,1116
1116_02,1116
1116_03,1116
1130_01,1130
1130_02,1130
1140_01,1140
1140_02,1140
1140_03,1140
1144_01,1144
1144_02,1144
1144_03,1144
1148_01,1148
1148_02,1148
1148_03,1148
1148_04,1148
1148_05,1148
1148_06,1148
1148_07,1148
1149_01,1149
1149_02,1149
1149_03,1149
1149_04,1149
1149_05,1149
1154_01,1154
1154_02,1154
1154_03,1154
1155_01,1155
1155_02,1155
1156_01,1156
1156_02,1156
1161_01,1161
1161_02,1161
1165_01,1165
1165_02,1165
1165_03,1165
1165_04,1165
