Source,Target
0001_01,Europa
0002_01,Earth
0003_01,Europa
0003_02,Europa
0004_01,Earth
0005_01,Earth
0006_01,Earth
0006_02,Earth
0007_01,Earth
0008_01,Europa
0008_02,Europa
0008_03,Europa
0009_01,Mars
0010_01,Earth
0011_01,Earth
0012_01,Earth
0014_01,Mars
0015_01,Earth
0016_01,Mars
0017_01,Earth
0017_02,Earth
0020_01,Earth
0020_02,Earth
0020_03,Earth
0020_04,Earth
0020_05,Earth
0020_06,Earth
0022_01,Mars
0024_01,Europa
0025_01,Earth
0026_01,Europa
0028_01,Mars
0030_01,Earth
0031_01,Mars
0031_02,Mars
0031_03,Mars
0034_01,Europa
0035_01,Mars
0036_01,Earth
0038_01,Earth
0039_01,Earth
0041_01,Earth
0043_01,Europa
0044_01,Earth
0044_02,Earth
0044_03,Earth
0045_01,Mars
0045_02,Mars
0050_01,Earth
0051_01,Earth
0052_01,Earth
0053_01,Earth
0056_01,Europa
0056_02,Europa
0056_03,Europa
0058_01,Earth
0061_01,Earth
0062_01,Earth
0064_01,Mars
0064_02,Mars
0066_01,Earth
0067_01,Earth
0067_02,Earth
0067_03,Earth
0068_01,Mars
0069_01,Earth
0070_01,Earth
0071_01,Earth
0072_01,Earth
0073_01,Mars
0074_01,Europa
0076_01,Mars
0077_01,Mars
0078_01,Europa
0081_01,Earth
0082_01,Mars
0082_02,Mars
0082_03,Mars
0084_01,Earth
0085_01,Europa
0086_01,Earth
0088_01,Mars
0090_01,Earth
0091_01,Earth
0091_02,Earth
0092_01,Earth
0092_02,Earth
0092_03,Earth
0097_01,Europa
0098_01,Earth
0098_02,Earth
0099_01,Earth
0099_02,Earth
0101_01,Mars
0102_01,Earth
0103_01,Earth
0103_02,Earth
0103_03,Earth
0105_01,Earth
0107_01,Mars
0108_01,Earth
0108_02,Earth
0108_03,Earth
0110_01,Europa
0110_02,Europa
0110_03,Europa
0110_04,Europa
0111_01,Europa
0112_01,Europa
0113_01,Earth
0114_01,Earth
0115_01,Mars
0116_01,Europa
0119_01,Europa
0119_02,Europa
0120_01,Mars
0122_01,Earth
0123_01,Earth
0126_01,Mars
0127_01,Mars
0128_01,Mars
0128_02,Mars
0129_01,Earth
0133_01,Mars
0133_02,Mars
0134_01,Earth
0136_01,Earth
0138_01,Earth
0138_02,Earth
0139_01,Europa
0140_01,Earth
0140_02,Earth
0141_01,Mars
0144_01,Earth
0146_01,Earth
0147_01,Earth
0148_01,Mars
0149_01,Earth
0151_01,Earth
0152_01,Earth
0160_01,Earth
0163_01,Europa
0163_02,Europa
0164_01,Earth
0164_02,Earth
0165_01,Mars
0167_01,Mars
0167_02,Mars
0169_01,Earth
0170_01,Earth
0171_01,Earth
0172_01,Earth
0173_01,Earth
0174_01,Earth
0177_01,Europa
0178_01,Mars
0179_01,Earth
0179_02,Earth
0179_03,Earth
0181_01,Earth
0182_01,Europa
0183_01,Earth
0186_01,Earth
0188_01,Earth
0189_01,Earth
0190_01,Earth
0192_01,Earth
0192_02,Earth
0192_03,Earth
0193_01,Mars
0193_02,Mars
0193_03,Mars
0195_01,Mars
0196_01,Mars
0197_01,Europa
0198_01,Earth
0199_01,Earth
0200_01,Earth
0201_01,Europa
0201_02,Europa
0202_01,Europa
0202_02,Europa
0203_01,Europa
0205_01,Earth
0206_01,Europa
0207_01,Earth
0210_01,Europa
0211_01,Mars
0211_02,Mars
0211_03,Mars
0212_01,Earth
0212_02,Earth
0213_01,Earth
0216_01,Earth
0217_01,Earth
0219_01,Earth
0220_01,Earth
0220_02,Earth
0220_03,Earth
0220_04,Earth
0220_05,Earth
0220_06,Earth
0220_07,Earth
0221_01,Mars
0221_02,Mars
0221_03,Mars
0221_04,Mars
0221_05,Mars
0221_06,Mars
0221_07,Mars
0222_01,Mars
0222_02,Mars
0222_03,Mars
0223_01,Earth
0224_01,Mars
0225_01,Earth
0229_01,Earth
0231_01,Mars
0232_01,Earth
0233_01,Mars
0234_01,Earth
0237_01,Europa
0239_01,Mars
0240_01,Mars
0241_01,Europa
0242_01,Earth
0243_01,Earth
0244_01,Mars
0244_02,Mars
0245_01,Europa
0245_02,Europa
0246_01,Mars
0248_01,Europa
0250_01,Earth
0251_01,Europa
0252_01,Earth
0253_01,Earth
0254_01,Earth
0255_01,Europa
0257_01,Mars
0257_02,Mars
0258_01,Earth
0260_01,Europa
0261_01,Earth
0263_01,Earth
0265_01,Europa
0267_01,Earth
0269_01,Earth
0270_01,Earth
0275_01,Europa
0277_01,Earth
0278_01,Earth
0278_02,Earth
0281_01,Earth
0282_01,Earth
0283_01,Earth
0283_02,Earth
0285_01,Europa
0285_02,Europa
0286_01,Earth
0287_01,Europa
0287_02,Europa
0288_01,Earth
0289_01,Europa
0290_01,Europa
0290_02,Europa
0290_03,Europa
0290_04,Europa
0291_01,Europa
0294_01,Europa
0297_01,Earth
0298_01,Europa
0301_01,Earth
0302_01,Earth
0303_01,Earth
0304_01,Europa
0305_01,Europa
0306_01,Earth
0307_01,Earth
0309_01,Earth
0310_01,Europa
0313_01,Earth
0313_02,Earth
0313_03,Earth
0313_04,Earth
0314_01,Earth
0315_01,Earth
0316_01,Europa
0316_02,Europa
0320_01,Earth
0320_02,Earth
0321_01,Earth
0322_01,Earth
0324_01,Earth
0326_01,Earth
0327_01,Earth
0330_01,Europa
0330_02,Europa
0330_03,Europa
0331_01,Earth
0333_01,Mars
