Source,Target,Amount
0002_01,FoodCourt,9
0003_01,FoodCourt,3576
0003_02,FoodCourt,1283
0004_01,FoodCourt,70
0005_01,FoodCourt,483
0006_01,FoodCourt,1539
0007_01,FoodCourt,785
0008_03,FoodCourt,7295
0010_01,FoodCourt,1
0011_01,FoodCourt,974
0014_01,FoodCourt,122
0015_01,FoodCourt,1
0022_01,FoodCourt,2
0025_01,FoodCourt,225
0026_01,FoodCourt,6073
0030_01,FoodCourt,850
0035_01,FoodCourt,964
0036_01,FoodCourt,492
0038_01,FoodCourt,195
0043_01,FoodCourt,164
0051_01,FoodCourt,112
0056_03,FoodCourt,605
0061_01,FoodCourt,1096
0062_01,FoodCourt,592
0066_01,FoodCourt,153
0067_02,FoodCourt,258
0067_03,FoodCourt,37
0071_01,FoodCourt,2165
0072_01,FoodCourt,1
0073_01,FoodCourt,83
0074_01,FoodCourt,8397
0078_01,FoodCourt,5840
0091_02,FoodCourt,697
0097_01,FoodCourt,1208
0098_01,FoodCourt,856
0098_02,FoodCourt,2811
0099_01,FoodCourt,427
0107_01,FoodCourt,5
0110_01,FoodCourt,410
0110_02,FoodCourt,331
0110_03,FoodCourt,11418
0112_01,FoodCourt,2537
0114_01,FoodCourt,157
0116_01,FoodCourt,2223
0119_01,FoodCourt,2344
0123_01,FoodCourt,597
0128_01,FoodCourt,334
0128_02,FoodCourt,6
0134_01,FoodCourt,14
0136_01,FoodCourt,418
0138_02,FoodCourt,22
0144_01,FoodCourt,420
0164_01,FoodCourt,1688
0173_01,FoodCourt,985
0177_01,FoodCourt,10346
0179_01,FoodCourt,219
0183_01,FoodCourt,146
0189_01,FoodCourt,3
0197_01,FoodCourt,972
0202_02,FoodCourt,2433
0205_01,FoodCourt,2
0206_01,FoodCourt,1720
0211_01,FoodCourt,1
0212_02,FoodCourt,188
0213_01,FoodCourt,281
0216_01,FoodCourt,56
0220_04,FoodCourt,84
0220_05,FoodCourt,3
0221_02,FoodCourt,80
0221_03,FoodCourt,12
0223_01,FoodCourt,2
0229_01,FoodCourt,7
0234_01,FoodCourt,888
0241_01,FoodCourt,1249
0242_01,FoodCourt,1
0245_01,FoodCourt,3571
0245_02,FoodCourt,86
0248_01,FoodCourt,1
0252_01,FoodCourt,695
0253_01,FoodCourt,615
0254_01,FoodCourt,172
0260_01,FoodCourt,4810
0261_01,FoodCourt,29
0269_01,FoodCourt,231
0270_01,FoodCourt,25
0277_01,FoodCourt,2390
0278_02,FoodCourt,97
0282_01,FoodCourt,918
0283_02,FoodCourt,654
0286_01,FoodCourt,1281
0287_02,FoodCourt,587
0290_01,FoodCourt,4458
0291_01,FoodCourt,6500
0297_01,FoodCourt,2
0304_01,FoodCourt,422
0305_01,FoodCourt,584
0306_01,FoodCourt,175
0310_01,FoodCourt,230
0313_01,FoodCourt,540
0316_01,FoodCourt,2628
0320_01,FoodCourt,2
0320_02,FoodCourt,5
0330_02,FoodCourt,4651
