Source,Target,Amount
0002_01,RoomService,109
0003_01,RoomService,43
0004_01,RoomService,303
0006_01,RoomService,42
0008_03,RoomService,39
0009_01,RoomService,73
0010_01,RoomService,719
0011_01,RoomService,8
0012_01,RoomService,32
0014_01,RoomService,1286
0017_02,RoomService,412
0022_01,RoomService,980
0026_01,RoomService,22
0028_01,RoomService,1125
0031_01,RoomService,214
0035_01,RoomService,784
0038_01,RoomService,554
0045_01,RoomService,970
0050_01,RoomService,790
0052_01,RoomService,4
0056_03,RoomService,279
0061_01,RoomService,45
0066_01,RoomService,1
0067_02,RoomService,1
0067_03,RoomService,1946
0068_01,RoomService,793
0069_01,RoomService,887
0070_01,RoomService,190
0071_01,RoomService,16
0073_01,RoomService,46
0074_01,RoomService,1
0076_01,RoomService,147
0077_01,RoomService,14
0082_01,RoomService,7406
0084_01,RoomService,688
0086_01,RoomService,211
0091_02,RoomService,1
0099_01,RoomService,311
0107_01,RoomService,1743
0108_02,RoomService,562
0110_03,RoomService,2209
0114_01,RoomService,82
0116_01,RoomService,1
0123_01,RoomService,55
0127_01,RoomService,701
0128_01,RoomService,2353
0128_02,RoomService,2103
0133_02,RoomService,2738
0136_01,RoomService,97
0140_02,RoomService,440
0148_01,RoomService,1072
0160_01,RoomService,4119
0164_01,RoomService,50
0167_02,RoomService,1365
0174_01,RoomService,287
0178_01,RoomService,3414
0179_01,RoomService,1
0183_01,RoomService,17
0186_01,RoomService,62
0189_01,RoomService,84
0195_01,RoomService,406
0196_01,RoomService,1052
0206_01,RoomService,2
0211_01,RoomService,902
0211_03,RoomService,848
0212_01,RoomService,192
0212_02,RoomService,147
0213_01,RoomService,367
0217_01,RoomService,1517
0220_04,RoomService,122
0221_01,RoomService,2237
0221_02,RoomService,1215
0221_03,RoomService,1933
0221_05,RoomService,1230
0221_06,RoomService,915
0222_01,RoomService,1406
0224_01,RoomService,181
0229_01,RoomService,4
0231_01,RoomService,85
0233_01,RoomService,56
0239_01,RoomService,637
0242_01,RoomService,313
0246_01,RoomService,2947
0252_01,RoomService,335
0253_01,RoomService,272
0254_01,RoomService,702
0257_01,RoomService,1664
0261_01,RoomService,66
0267_01,RoomService,118
0277_01,RoomService,44
0283_02,RoomService,146
0286_01,RoomService,3
0297_01,RoomService,90
0306_01,RoomService,368
0309_01,RoomService,1194
0313_01,RoomService,7
0313_03,RoomService,331
0314_01,RoomService,386
0321_01,RoomService,1018
0327_01,RoomService,17
0330_02,RoomService,247
0330_03,RoomService,443
0334_01,RoomService,5715
0336_01,RoomService,695
0337_02,RoomService,417
0343_01,RoomService,121
0347_01,RoomService,434
0348_01,RoomService,142
0348_02,RoomService,520
0352_01,RoomService,2001
0359_01,RoomService,148
0360_01,RoomService,358
0368_01,RoomService,2832
0376_01,RoomService,116
0378_01,RoomService,17
0378_03,RoomService,5649
0379_01,RoomService,198
0382_01,RoomService,348
0383_01,RoomService,82
0384_02,RoomService,3
0385_01,RoomService,13
0389_01,RoomService,391
0391_01,RoomService,69
0395_02,RoomService,1
0398_01,RoomService,28
0401_01,RoomService,1056
0401_02,RoomService,1770
0403_01,RoomService,353
0405_01,RoomService,177
0408_01,RoomService,1134
0411_01,RoomService,691
0423_01,RoomService,8
0425_01,RoomService,1094
0427_01,RoomService,417
0429_01,RoomService,2
0432_01,RoomService,1483
