Source,Target,Amount
0002_01,ShoppingMall,25
0003_02,ShoppingMall,371
0004_01,ShoppingMall,151
0006_01,ShoppingMall,3
0007_01,ShoppingMall,17
0008_03,ShoppingMall,589
0009_01,ShoppingMall,1123
0010_01,ShoppingMall,65
0011_01,ShoppingMall,12
0012_01,ShoppingMall,876
0017_02,ShoppingMall,1
0022_01,ShoppingMall,69
0028_01,ShoppingMall,136
0030_01,ShoppingMall,81
0031_01,ShoppingMall,1411
0031_03,ShoppingMall,1750
0036_01,ShoppingMall,48
0043_01,ShoppingMall,45
0045_01,ShoppingMall,180
0052_01,ShoppingMall,2
0053_01,ShoppingMall,1938
0056_03,ShoppingMall,3374
0061_01,ShoppingMall,148
0066_01,ShoppingMall,197
0067_02,ShoppingMall,446
0068_01,ShoppingMall,2
0069_01,ShoppingMall,9
0070_01,ShoppingMall,5
0073_01,ShoppingMall,738
0076_01,ShoppingMall,1018
0077_01,ShoppingMall,1295
0091_02,ShoppingMall,31
0092_01,ShoppingMall,670
0098_01,ShoppingMall,5
0098_02,ShoppingMall,957
0099_01,ShoppingMall,526
0105_01,ShoppingMall,570
0107_01,ShoppingMall,17
0108_02,ShoppingMall,326
0110_01,ShoppingMall,6
0112_01,ShoppingMall,87
0113_01,ShoppingMall,804
0114_01,ShoppingMall,429
0123_01,ShoppingMall,49
0127_01,ShoppingMall,296
0128_01,ShoppingMall,9
0134_01,ShoppingMall,730
0136_01,ShoppingMall,126
0141_01,ShoppingMall,97
0144_01,ShoppingMall,210
0148_01,ShoppingMall,10
0167_02,ShoppingMall,48
0174_01,ShoppingMall,16
0177_01,ShoppingMall,1
0178_01,ShoppingMall,161
0179_01,ShoppingMall,673
0181_01,ShoppingMall,3
0183_01,ShoppingMall,426
0189_01,ShoppingMall,401
0192_03,ShoppingMall,10
0193_02,ShoppingMall,8
0195_01,ShoppingMall,867
0196_01,ShoppingMall,719
0205_01,ShoppingMall,66
0206_01,ShoppingMall,12
0211_01,ShoppingMall,137
0211_03,ShoppingMall,307
0221_01,ShoppingMall,119
0221_02,ShoppingMall,1
0221_03,ShoppingMall,188
0221_05,ShoppingMall,301
0221_06,ShoppingMall,221
0223_01,ShoppingMall,665
0224_01,ShoppingMall,5
0231_01,ShoppingMall,1
0233_01,ShoppingMall,256
0242_01,ShoppingMall,691
0245_02,ShoppingMall,796
0246_01,ShoppingMall,287
0252_01,ShoppingMall,541
0254_01,ShoppingMall,408
0258_01,ShoppingMall,313
0269_01,ShoppingMall,592
0270_01,ShoppingMall,128
0281_01,ShoppingMall,2078
0283_02,ShoppingMall,1
0286_01,ShoppingMall,29
0287_02,ShoppingMall,32
0291_01,ShoppingMall,88
0297_01,ShoppingMall,1324
0302_01,ShoppingMall,15
0306_01,ShoppingMall,259
0307_01,ShoppingMall,1359
0309_01,ShoppingMall,157
0313_01,ShoppingMall,1
0314_01,ShoppingMall,74
0320_02,ShoppingMall,3
0321_01,ShoppingMall,209
0327_01,ShoppingMall,784
0331_01,ShoppingMall,251
0334_01,ShoppingMall,211
0336_01,ShoppingMall,16
0337_02,ShoppingMall,634
0347_01,ShoppingMall,1434
0348_01,ShoppingMall,202
0348_02,ShoppingMall,1865
0352_01,ShoppingMall,2975
0359_01,ShoppingMall,453
0360_01,ShoppingMall,33
0368_01,ShoppingMall,4447
0369_01,ShoppingMall,592
0375_01,ShoppingMall,558
0376_01,ShoppingMall,786
0378_01,ShoppingMall,4
0378_03,ShoppingMall,7
0378_06,ShoppingMall,6
0379_01,ShoppingMall,591
0384_02,ShoppingMall,881
0389_01,ShoppingMall,356
0395_01,ShoppingMall,552
0398_01,ShoppingMall,36
0408_01,ShoppingMall,52
0409_01,ShoppingMall,1116
0411_01,ShoppingMall,101
0412_01,ShoppingMall,5952
0425_01,ShoppingMall,26
0427_01,ShoppingMall,7185
0437_01,ShoppingMall,22
0437_02,ShoppingMall,840
0439_01,ShoppingMall,45
0444_01,ShoppingMall,102
0444_02,ShoppingMall,136
0447_01,ShoppingMall,795
0456_01,ShoppingMall,188
0457_01,ShoppingMall,747
0461_02,ShoppingMall,182
0463_01,ShoppingMall,257
0463_02,ShoppingMall,81
0465_02,ShoppingMall,22
0466_01,ShoppingMall,863
0471_01,ShoppingMall,2
0472_01,ShoppingMall,544
0475_01,ShoppingMall,38
0476_01,ShoppingMall,145
0480_01,ShoppingMall,23
0487_01,ShoppingMall,12
0500_01,ShoppingMall,1749
0501_01,ShoppingMall,967
0502_01,ShoppingMall,817
0503_02,ShoppingMall,47
0503_03,ShoppingMall,16
0504_04,ShoppingMall,11
0516_01,ShoppingMall,41
0517_01,ShoppingMall,1
0522_01,ShoppingMall,750
0523_01,ShoppingMall,1733
0527_01,ShoppingMall,3
0533_01,ShoppingMall,384
0534_01,ShoppingMall,29
0534_02,ShoppingMall,316
0539_05,ShoppingMall,479
0546_01,ShoppingMall,838
0547_01,ShoppingMall,831
0548_01,ShoppingMall,704
0551_01,ShoppingMall,266
0555_02,ShoppingMall,1
0559_01,ShoppingMall,580
0560_03,ShoppingMall,74
0561_01,ShoppingMall,332
0563_01,ShoppingMall,402
0564_03,ShoppingMall,2
0565_01,ShoppingMall,612
0569_01,ShoppingMall,310
0570_01,ShoppingMall,1
0572_01,ShoppingMall,21
0573_01,ShoppingMall,25
0576_01,ShoppingMall,625
0577_01,ShoppingMall,521
0579_01,ShoppingMall,37
0581_01,ShoppingMall,601
0585_03,ShoppingMall,1092
0587_01,ShoppingMall,616
0589_01,ShoppingMall,551
0593_01,ShoppingMall,182
0596_01,ShoppingMall,2155
0599_03,ShoppingMall,46
0600_01,ShoppingMall,826
0603_01,ShoppingMall,12
0607_01,ShoppingMall,10
0607_02,ShoppingMall,19
0607_03,ShoppingMall,118
0610_01,ShoppingMall,229
0618_01,ShoppingMall,908
0628_01,ShoppingMall,18
0635_02,ShoppingMall,50
0636_02,ShoppingMall,7
0639_01,ShoppingMall,956
0642_02,ShoppingMall,82
0643_01,ShoppingMall,141
0647_03,ShoppingMall,1087
0655_01,ShoppingMall,708
0657_02,ShoppingMall,736
0658_01,ShoppingMall,1
0663_01,ShoppingMall,16
0665_01,ShoppingMall,7104
0665_02,ShoppingMall,2
0668_01,ShoppingMall,87
0669_01,ShoppingMall,2
0672_01,ShoppingMall,38
0683_01,ShoppingMall,252
0685_01,ShoppingMall,4
0687_01,ShoppingMall,9
0688_01,ShoppingMall,97
0691_01,ShoppingMall,783
0691_02,ShoppingMall,1952
0696_01,ShoppingMall,226
0697_01,ShoppingMall,689
0699_02,ShoppingMall,301
0702_01,ShoppingMall,4
0705_01,ShoppingMall,722
0712_01,ShoppingMall,170
0718_01,ShoppingMall,4
0727_01,ShoppingMall,1
0728_01,ShoppingMall,2
0732_01,ShoppingMall,2
0733_01,ShoppingMall,88
0734_01,ShoppingMall,322
0736_01,ShoppingMall,484
0753_02,ShoppingMall,4
0757_01,ShoppingMall,5
0765_01,ShoppingMall,55
0765_02,ShoppingMall,121
0767_01,ShoppingMall,679
0772_01,ShoppingMall,325
0776_01,ShoppingMall,1399
0785_01,ShoppingMall,2
0789_01,ShoppingMall,4
0789_02,ShoppingMall,870
0799_01,ShoppingMall,5
0805_01,ShoppingMall,100
0806_01,ShoppingMall,32
0808_01,ShoppingMall,701
0809_02,ShoppingMall,1
0809_03,ShoppingMall,51
0815_01,ShoppingMall,30
0820_01,ShoppingMall,714
0822_01,ShoppingMall,10
0823_02,ShoppingMall,739
0824_01,ShoppingMall,343
0828_01,ShoppingMall,22
0829_01,ShoppingMall,2695
0835_01,ShoppingMall,9
0836_01,ShoppingMall,71
