Source,Target,Amount
0002_01,VRDeck,44
0003_01,VRDeck,49
0003_02,VRDeck,193
0004_01,VRDeck,2
0008_03,VRDeck,124
0009_01,VRDeck,113
0010_01,VRDeck,24
0011_01,VRDeck,7
0015_01,VRDeck,637
0017_02,VRDeck,679
0026_01,VRDeck,328
0030_01,VRDeck,453
0031_01,VRDeck,1229
0036_01,VRDeck,401
0043_01,VRDeck,855
0045_01,VRDeck,64
0051_01,VRDeck,127
0053_01,VRDeck,1
0056_03,VRDeck,3
0061_01,VRDeck,1
0062_01,VRDeck,25
0066_01,VRDeck,460
0067_03,VRDeck,24
0070_01,VRDeck,726
0071_01,VRDeck,52
0072_01,VRDeck,1063
0073_01,VRDeck,12
0074_01,VRDeck,506
0078_01,VRDeck,9654
0084_01,VRDeck,17
0086_01,VRDeck,513
0092_01,VRDeck,34
0097_01,VRDeck,637
0098_02,VRDeck,87
0102_01,VRDeck,91
0103_01,VRDeck,17
0105_01,VRDeck,131
0110_01,VRDeck,764
0110_02,VRDeck,1687
0110_03,VRDeck,445
0112_01,VRDeck,13
0114_01,VRDeck,1
0116_01,VRDeck,404
0119_01,VRDeck,6898
0122_01,VRDeck,74
0123_01,VRDeck,1
0127_01,VRDeck,25
0128_01,VRDeck,2
0136_01,VRDeck,55
0138_02,VRDeck,207
0140_02,VRDeck,462
0148_01,VRDeck,76
0152_01,VRDeck,607
0160_01,VRDeck,61
0164_01,VRDeck,135
0167_02,VRDeck,137
0170_01,VRDeck,567
0174_01,VRDeck,175
0177_01,VRDeck,2111
0178_01,VRDeck,119
0179_01,VRDeck,11
0181_01,VRDeck,92
0183_01,VRDeck,232
0186_01,VRDeck,956
0189_01,VRDeck,98
0196_01,VRDeck,7
0197_01,VRDeck,575
0202_02,VRDeck,443
0205_01,VRDeck,705
0206_01,VRDeck,122
0212_01,VRDeck,739
0212_02,VRDeck,387
0213_01,VRDeck,146
0216_01,VRDeck,1918
0220_05,VRDeck,1099
0221_05,VRDeck,1023
0223_01,VRDeck,9
0229_01,VRDeck,79
0239_01,VRDeck,319
0241_01,VRDeck,1116
0245_01,VRDeck,7
0245_02,VRDeck,10912
0248_01,VRDeck,1063
0253_01,VRDeck,1
0254_01,VRDeck,6
0258_01,VRDeck,92
0260_01,VRDeck,2054
0261_01,VRDeck,803
0267_01,VRDeck,1
0270_01,VRDeck,1240
0278_02,VRDeck,333
0283_02,VRDeck,2
0286_01,VRDeck,13
0287_02,VRDeck,1460
0288_01,VRDeck,828
0290_01,VRDeck,262
0302_01,VRDeck,1370
0304_01,VRDeck,5166
0305_01,VRDeck,2469
0306_01,VRDeck,101
