Source,Target
0001_01,TRAPPIST-1e
0002_01,TRAPPIST-1e
0003_01,TRAPPIST-1e
0003_02,TRAPPIST-1e
0004_01,TRAPPIST-1e
0005_01,PSO J318.5-22
0006_01,TRAPPIST-1e
0006_02,TRAPPIST-1e
0007_01,TRAPPIST-1e
0008_01,55 Cancri e
0008_02,TRAPPIST-1e
0008_03,55 Cancri e
0009_01,TRAPPIST-1e
0010_01,TRAPPIST-1e
0011_01,TRAPPIST-1e
0012_01,TRAPPIST-1e
0014_01,55 Cancri e
0015_01,55 Cancri e
0016_01,TRAPPIST-1e
0017_01,TRAPPIST-1e
0017_02,55 Cancri e
0020_01,TRAPPIST-1e
0020_02,55 Cancri e
0020_03,55 Cancri e
0020_04,TRAPPIST-1e
0020_05,PSO J318.5-22
0020_06,TRAPPIST-1e
0022_01,TRAPPIST-1e
0024_01,TRAPPIST-1e
0025_01,TRAPPIST-1e
0026_01,55 Cancri e
0028_01,TRAPPIST-1e
0030_01,TRAPPIST-1e
0031_01,TRAPPIST-1e
0031_02,TRAPPIST-1e
0031_03,TRAPPIST-1e
0034_01,55 Cancri e
0035_01,55 Cancri e
0036_01,55 Cancri e
0038_01,55 Cancri e
0039_01,55 Cancri e
0041_01,TRAPPIST-1e
0043_01,TRAPPIST-1e
0044_01,TRAPPIST-1e
0044_02,55 Cancri e
0044_03,PSO J318.5-22
0045_01,TRAPPIST-1e
0045_02,TRAPPIST-1e
0050_01,55 Cancri e
0051_01,TRAPPIST-1e
0052_01,TRAPPIST-1e
0053_01,TRAPPIST-1e
0056_01,TRAPPIST-1e
0056_02,TRAPPIST-1e
0056_03,TRAPPIST-1e
0058_01,PSO J318.5-22
0061_01,TRAPPIST-1e
0062_01,TRAPPIST-1e
0064_01,TRAPPIST-1e
0064_02,TRAPPIST-1e
0066_01,TRAPPIST-1e
0067_01,PSO J318.5-22
0067_02,TRAPPIST-1e
0067_03,55 Cancri e
0068_01,TRAPPIST-1e
0069_01,TRAPPIST-1e
0070_01,TRAPPIST-1e
0071_01,TRAPPIST-1e
0072_01,TRAPPIST-1e
0073_01,PSO J318.5-22
0074_01,TRAPPIST-1e
0076_01,TRAPPIST-1e
0077_01,TRAPPIST-1e
0078_01,TRAPPIST-1e
0081_01,TRAPPIST-1e
0082_01,TRAPPIST-1e
0082_02,TRAPPIST-1e
0082_03,TRAPPIST-1e
0084_01,TRAPPIST-1e
0085_01,TRAPPIST-1e
0086_01,TRAPPIST-1e
0088_01,PSO J318.5-22
0090_01,TRAPPIST-1e
0091_01,TRAPPIST-1e
0091_02,TRAPPIST-1e
0092_01,TRAPPIST-1e
0092_02,TRAPPIST-1e
0092_03,TRAPPIST-1e
0097_01,TRAPPIST-1e
0098_01,TRAPPIST-1e
0098_02,TRAPPIST-1e
0099_01,PSO J318.5-22
0099_02,TRAPPIST-1e
0101_01,TRAPPIST-1e
0102_01,TRAPPIST-1e
0103_01,TRAPPIST-1e
0103_02,55 Cancri e
0103_03,TRAPPIST-1e
0105_01,TRAPPIST-1e
0107_01,TRAPPIST-1e
0108_01,TRAPPIST-1e
0108_02,TRAPPIST-1e
0108_03,TRAPPIST-1e
0110_01,TRAPPIST-1e
0110_02,TRAPPIST-1e
0110_03,TRAPPIST-1e
0110_04,TRAPPIST-1e
0111_01,TRAPPIST-1e
0112_01,55 Cancri e
0113_01,TRAPPIST-1e
0114_01,TRAPPIST-1e
0115_01,TRAPPIST-1e
0116_01,TRAPPIST-1e
0119_01,TRAPPIST-1e
0119_02,TRAPPIST-1e
0120_01,TRAPPIST-1e
0122_01,TRAPPIST-1e
0123_01,TRAPPIST-1e
0126_01,TRAPPIST-1e
0127_01,TRAPPIST-1e
0128_01,TRAPPIST-1e
0128_02,TRAPPIST-1e
0129_01,PSO J318.5-22
0133_01,TRAPPIST-1e
0133_02,TRAPPIST-1e
0134_01,TRAPPIST-1e
0136_01,PSO J318.5-22
0138_01,TRAPPIST-1e
0138_02,TRAPPIST-1e
0139_01,55 Cancri e
0140_01,TRAPPIST-1e
0140_02,TRAPPIST-1e
0141_01,TRAPPIST-1e
0144_01,TRAPPIST-1e
0146_01,TRAPPIST-1e
0147_01,TRAPPIST-1e
0148_01,TRAPPIST-1e
0149_01,55 Cancri e
0151_01,55 Cancri e
0152_01,TRAPPIST-1e
0160_01,TRAPPIST-1e
0163_01,TRAPPIST-1e
0163_02,TRAPPIST-1e
0164_01,TRAPPIST-1e
0164_02,PSO J318.5-22
0165_01,TRAPPIST-1e
0167_01,TRAPPIST-1e
0167_02,TRAPPIST-1e
0169_01,TRAPPIST-1e
0170_01,TRAPPIST-1e
0171_01,PSO J318.5-22
0172_01,TRAPPIST-1e
0173_01,TRAPPIST-1e
0174_01,55 Cancri e
0177_01,TRAPPIST-1e
0178_01,TRAPPIST-1e
0179_01,TRAPPIST-1e
0179_02,TRAPPIST-1e
0179_03,TRAPPIST-1e
