PassengerId,Age,CryoSleep,Total_Spend,Transported
0001_01,39,False,0,False
0002_01,24,False,736,True
0003_01,58,False,10383,False
0003_02,33,False,5176,False
0004_01,16,False,1091,True
0005_01,44,False,774,True
0006_01,26,False,1584,True
0006_02,28,True,0,True
0007_01,35,False,1018,True
0008_01,14,True,0,True
0008_02,34,True,0,True
0008_03,45,False,8157,True
0009_01,32,False,1309,True
0010_01,48,False,809,False
0011_01,28,False,1003,True
0012_01,31,False,908,False
0014_01,27,False,1408,False
0015_01,24,False,638,False
0016_01,45,True,0,True
0017_01,0,False,0,True
0017_02,14,False,1092,False
0020_01,1,True,0,False
0020_02,49,True,0,False
0020_03,29,True,0,False
0020_04,10,False,0,True
0020_05,1,True,0,False
0020_06,7,False,0,False
0022_01,21,False,1051,False
0024_01,62,True,0,True
0025_01,15,False,1223,False
0026_01,34,False,7861,False
0028_01,43,False,1309,False
0030_01,32,False,1821,False
0031_01,47,False,2854,True
0031_02,2,False,0,True
0031_03,20,False,2740,True
0034_01,28,True,0,True
0035_01,23,False,2699,False
0036_01,15,False,961,False
0038_01,20,False,3355,False
0039_01,30,True,0,False
0041_01,17,True,0,True
0043_01,45,False,3575,False
0044_01,55,True,0,False
0044_02,4,True,0,True
0044_03,21,True,0,True
0045_01,21,False,1214,False
0045_02,19,True,0,True
0050_01,35,False,790,False
0051_01,56,False,1618,False
0052_01,27,False,4689,False
0053_01,25,False,1939,True
0056_01,2,False,0,True
0056_02,38,True,0,True
0056_03,27,False,4547,True
0058_01,36,True,0,False
0061_01,22,False,2667,False
0062_01,62,False,634,False
0064_01,15,True,0,True
0064_02,33,True,0,True
0066_01,62,False,811,False
0067_01,0,True,0,True
0067_02,18,False,705,True
0067_03,21,False,2007,False
0068_01,27,False,1048,False
0069_01,42,False,902,True
0070_01,19,False,922,False
0071_01,17,False,2233,False
0072_01,14,False,1064,False
0073_01,37,False,879,False
0074_01,42,False,8904,True
0076_01,27,False,1165,True
0077_01,28,False,1309,True
0078_01,38,False,15815,False
0081_01,13,True,0,False
0082_01,42,False,7406,False
0082_02,2,True,0,True
0082_03,8,False,0,True
0084_01,24,False,705,True
0085_01,40,True,0,True
0086_01,43,False,1362,False
0088_01,45,True,0,True
0090_01,35,True,0,True
0091_01,26,True,0,True
0091_02,27,False,917,False
0092_01,19,False,705,False
0092_02,0,True,0,True
0092_03,3,True,0,True
0097_01,54,False,1848,False
0098_01,26,False,893,False
0098_02,26,False,3855,True
0099_01,23,False,1301,False
0099_02,2,False,0,True
0101_01,31,True,0,True
0102_01,18,False,921,False
0103_01,24,False,17,True
0103_02,9,True,0,True
0103_03,6,True,0,False
0105_01,27,False,703,False
0107_01,21,False,1765,False
0108_01,23,True,0,False
0108_02,31,False,888,False
0108_03,0,False,0,True
0110_01,32,False,5109,False
0110_02,40,False,2018,False
0110_03,42,False,15940,True
0110_04,28,True,0,True
0111_01,29,True,0,True
0112_01,48,False,2654,True
0113_01,64,False,804,True
0114_01,27,False,907,False
0115_01,26,False,0,True
0116_01,33,False,2640,True
0119_01,39,False,9307,False
0119_02,13,True,0,True
0120_01,24,True,0,True
0122_01,29,False,773,False
0123_01,18,False,702,False
0126_01,67,True,0,True
0127_01,35,False,1022,False
0128_01,61,False,3014,False
0128_02,45,False,2109,False
0129_01,22,True,0,True
0133_01,19,True,0,True
0133_02,36,False,2738,False
0134_01,19,False,744,True
0136_01,47,False,721,False
0138_01,13,True,0,True
0138_02,34,False,793,False
0139_01,35,True,0,True
0140_01,24,True,0,True
0140_02,26,False,902,False
0141_01,31,False,97,False
0144_01,20,False,630,True
0146_01,56,False,0,False
0147_01,50,True,0,True
